plotID,pointID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,siteID
ABBY_061,41,tower,basePlot,45.762451,-122.331158,WGS84,10N,552011.163,5067872.242,0.1,Geo 7X (H-Star),362.83,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,49,tower,basePlot,45.762546,-122.331281,WGS84,10N,552001.505,5067882.719,0.1,Geo 7X (H-Star),362.55,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,59,tower,basePlot,45.762633,-122.331144,WGS84,10N,552012.047,5067892.474,0.1,Geo 7X (H-Star),362.54,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,57,tower,basePlot,45.762641,-122.331402,WGS84,10N,551992.002,5067893.207,0.1,Geo 7X (H-Star),361.27,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,39,tower,basePlot,45.762464,-122.33142,WGS84,10N,551990.74,5067873.465,0.1,Geo 7X (H-Star),361.23,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,31,tower,basePlot,45.762362,-122.331294,WGS84,10N,552000.626,5067862.271,0.1,Geo 7X (H-Star),361.83,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,21,tower,basePlot,45.762276,-122.33143,WGS84,10N,551990.135,5067852.578,0.1,Geo 7X (H-Star),360.5,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,33,tower,basePlot,45.762353,-122.331027,WGS84,10N,552021.43,5067861.402,0.1,Geo 7X (H-Star),362.49,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,23,tower,basePlot,45.762264,-122.331165,WGS84,10N,552010.797,5067851.443,0.1,Geo 7X (H-Star),361.28,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,25,tower,basePlot,45.762259,-122.330903,WGS84,10N,552031.177,5067851.053,0.1,Geo 7X (H-Star),362.7,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,43,tower,basePlot,45.762445,-122.330895,WGS84,10N,552031.608,5067871.696,0.1,Geo 7X (H-Star),362.33,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,51,tower,basePlot,45.762534,-122.331022,WGS84,10N,552021.634,5067881.528,0.1,Geo 7X (H-Star),362.08,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_061,61,tower,basePlot,45.762626,-122.330881,WGS84,10N,552032.488,5067891.84,0.1,Geo 7X (H-Star),362.21,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,41,tower,basePlot,45.763476,-122.328068,WGS84,10N,552250.407,5067986.697,0.14,Geo 7X (H-Star),342.17,0.19,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,59,tower,basePlot,45.763653,-122.328052,WGS84,10N,552251.542,5068006.461,0.12,Geo 7X (H-Star),339.33,0.14,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,61,tower,basePlot,45.763648,-122.327798,WGS84,10N,552271.317,5068006.051,0.11,Geo 7X (H-Star),338.25,0.14,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,57,tower,basePlot,45.763667,-122.328314,WGS84,10N,552231.103,5068007.775,0.11,Geo 7X (H-Star),343.2,0.12,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,43,tower,basePlot,45.763468,-122.327805,WGS84,10N,552270.935,5067985.995,0.1,Geo 7X (H-Star),340.32,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,25,tower,basePlot,45.763283,-122.327813,WGS84,10N,552270.451,5067965.423,0.1,Geo 7X (H-Star),342.55,0.12,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,39,tower,basePlot,45.763486,-122.328327,WGS84,10N,552230.321,5067987.73,0.1,Geo 7X (H-Star),346.65,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,23,tower,basePlot,45.763294,-122.32808,WGS84,10N,552249.651,5067966.551,0.1,Geo 7X (H-Star),346.89,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_062,21,tower,basePlot,45.763305,-122.328342,WGS84,10N,552229.326,5067967.565,0.1,Geo 7X (H-Star),351.7,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,57,tower,basePlot,45.76071,-122.330279,WGS84,10N,552081.076,5067678.021,0.15,Geo 7X,361.94,0.16,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,49,tower,basePlot,45.760611,-122.33016,WGS84,10N,552090.414,5067667.095,0.15,Geo 7X,361.95,0.12,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,25,tower,basePlot,45.76032,-122.329786,WGS84,10N,552119.824,5067635.028,0.11,Geo 7X,362.38,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,39,tower,basePlot,45.760525,-122.330298,WGS84,10N,552079.769,5067657.446,0.1,Geo 7X,361.25,0.12,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,21,tower,basePlot,45.760343,-122.33031,WGS84,10N,552079.01,5067637.154,0.1,Geo 7X,361.28,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,31,tower,basePlot,45.760428,-122.330174,WGS84,10N,552089.496,5067646.715,0.1,Geo 7X,361.75,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,23,tower,basePlot,45.760328,-122.330046,WGS84,10N,552099.526,5067635.719,0.1,Geo 7X,361.89,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,41,tower,basePlot,45.760513,-122.330038,WGS84,10N,552099.975,5067656.284,0.1,Geo 7X,362.15,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,33,tower,basePlot,45.760416,-122.329912,WGS84,10N,552109.944,5067645.503,0.1,Geo 7X,362.42,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,43,tower,basePlot,45.760505,-122.329773,WGS84,10N,552120.661,5067655.518,0.1,Geo 7X,362.64,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
ABBY_063,59,tower,basePlot,45.760698,-122.330021,WGS84,10N,552101.148,5067676.771,0.1,Geo 7X,362.74,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,ABBY
